40784321,William,albert-38@edu.ar,+54-9-2643032459,10000,5
42586634,Jethro,jethro835@gmail.com,+54-9-2642232561,12500,10
43110742,James,james_784@outlook.com,+54-9-2644240674,13500,3
41558597,John,edward_919@outlook.com,+54-9-2643375328,20000,6
42202112,James,alessandro879@outlook.com,+54-9-2642898735,19500,7
40271874,James,edward_28@edu.ar,+54-9-2645317074,14000,12
40182330,Alfred,james540@iee-unsjconicet.com,+54-9-2643215482,11000,8
40935573,John,alessandro-312@messenger.com,+54-9-2646785031,17500,4
44150928,James,nikola_230@edu.ar,+54-9-2649303514,18000,9
42778964,Karl,georg_316@gmail.com,+54-9-2645140023,15500,11
