41887043,Jethro,georg556@edu.ar,+54-9-2643564491,carpinteria,22/11/2019,01/10/2020,2100,1500,25000
43680203,Jethro,blaise_599@edu.ar,+54-9-2648970591,electricidad,01/10/2020,03/02/2023,1100,1200,21500
41490943,Thomas,leonardo-982@gmail.com,+54-9-2645290924,plomeria,03/02/2020,09/09/2022,1000,2300,20500
41115297,Benjamin,alessandro-334@yahoo.com,+54-9-2643143193,mecanica,14/03/2019,22/11/2021,1350,1250,17000
43974531,James,william934@edu.ar,+54-9-2641941162,carpinteria,09/09/2010,28/07/2024,1100,1450,15500
44830416,Blaise,abraham_109@edu.ar,+54-9-2641592477,mecanica,07/06/2016,07/06/2019,1750,1350,12000
42494414,Isaac,john197@edu.ar,+54-9-2641243540,mecanica,28/07/2015,14/03/2020,1250,1000,10500
42886329,Georg,john-845@outlook.com,+54-9-2644440747,electricidad,09/05/2018,09/05/2021,2300,1250,13500
41018441,Isaac,stephen_271@messenger.com,+54-9-2645778761,mecanica,10/10/2019,28/11/2022,1250,1100,24000
40529312,Alan,marie597@yahoo.com,+54-9-2643591578,plomeria,28/11/2017,10/10/2021,1500,2100,19500
